INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 526472334
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x118148000, 0x118148200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x10e800000,0x10e802000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 215Mb
#2	INITED exec/s: 1 rss: 215Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 225Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#32	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#9309	NEW    cov: 93 ft: 358 corp: 109/1246b lim: 17 exec/s: 2 rss: 364Mb L: 16/17 MS: 4 ChangeBit-CrossOver-EraseBytes-InsertRepeatedBytes-
#9595	NEW    cov: 93 ft: 361 corp: 110/1263b lim: 17 exec/s: 2 rss: 364Mb L: 17/17 MS: 1 InsertByte-
#10011	NEW    cov: 93 ft: 362 corp: 111/1281b lim: 21 exec/s: 2 rss: 364Mb L: 18/18 MS: 1 InsertRepeatedBytes-
#10095	NEW    cov: 93 ft: 363 corp: 112/1301b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 4 ChangeBit-ChangeBinInt-PersAutoDict-InsertRepeatedBytes- DE: "\000\000"-
#10097	NEW    cov: 93 ft: 366 corp: 113/1321b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 2 CopyPart-InsertRepeatedBytes-
#10465	NEW    cov: 93 ft: 377 corp: 114/1341b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 3 CopyPart-PersAutoDict-InsertByte- DE: "\000\000"-
#10641	NEW    cov: 93 ft: 386 corp: 115/1358b lim: 21 exec/s: 2 rss: 364Mb L: 17/20 MS: 1 CopyPart-
#10762	NEW    cov: 93 ft: 387 corp: 116/1378b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 1 ShuffleBytes-
#10908	REDUCE cov: 93 ft: 387 corp: 116/1374b lim: 21 exec/s: 2 rss: 364Mb L: 13/20 MS: 1 EraseBytes-
#10988	NEW    cov: 93 ft: 388 corp: 117/1393b lim: 21 exec/s: 2 rss: 364Mb L: 19/20 MS: 5 ChangeBinInt-InsertRepeatedBytes-ChangeBinInt-ChangeBit-EraseBytes-
#11069	NEW    cov: 93 ft: 389 corp: 118/1413b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 1 CopyPart-
#11145	NEW    cov: 93 ft: 390 corp: 119/1433b lim: 21 exec/s: 2 rss: 364Mb L: 20/20 MS: 1 ChangeASCIIInt-
#11203	NEW    cov: 93 ft: 393 corp: 120/1454b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 3 EraseBytes-CopyPart-InsertRepeatedBytes-
#11225	REDUCE cov: 93 ft: 396 corp: 121/1471b lim: 21 exec/s: 2 rss: 364Mb L: 17/21 MS: 2 ChangeByte-InsertRepeatedBytes-
#11276	NEW    cov: 93 ft: 399 corp: 122/1492b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 1 InsertRepeatedBytes-
#11329	NEW    cov: 93 ft: 400 corp: 123/1513b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 3 InsertRepeatedBytes-ShuffleBytes-ChangeBinInt-
#11478	NEW    cov: 93 ft: 403 corp: 124/1534b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 4 CopyPart-CopyPart-PersAutoDict-CopyPart- DE: "\000\000"-
#11668	NEW    cov: 93 ft: 408 corp: 125/1552b lim: 21 exec/s: 2 rss: 364Mb L: 18/21 MS: 5 EraseBytes-ChangeBit-CrossOver-CopyPart-CopyPart-
#12019	NEW    cov: 93 ft: 415 corp: 126/1573b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 1 InsertRepeatedBytes-
#12145	NEW    cov: 93 ft: 416 corp: 127/1592b lim: 21 exec/s: 2 rss: 364Mb L: 19/21 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#12165	NEW    cov: 93 ft: 419 corp: 128/1610b lim: 21 exec/s: 2 rss: 364Mb L: 18/21 MS: 5 PersAutoDict-CrossOver-CrossOver-CrossOver-InsertRepeatedBytes- DE: "\377\377"-
#12244	NEW    cov: 93 ft: 420 corp: 129/1630b lim: 21 exec/s: 2 rss: 364Mb L: 20/21 MS: 4 ShuffleBytes-CMP-ChangeByte-CrossOver- DE: "\000\000\000\000"-
#12350	NEW    cov: 93 ft: 421 corp: 130/1651b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 1 InsertByte-
#12426	NEW    cov: 93 ft: 424 corp: 131/1672b lim: 21 exec/s: 2 rss: 364Mb L: 21/21 MS: 1 CopyPart-
